step,loss,grad_norm,seconds
1,0.42073309421539307,0.4890289604663849,2.7577174400000217
2,0.3597106337547302,0.5331434607505798,0.4608307489999959
3,0.3728131651878357,0.47194331884384155,0.42695799300000203
4,0.3316833972930908,0.4606241285800934,0.4296735389999924
5,0.3380134105682373,0.5059391856193542,0.4058951769999908
6,0.3384202718734741,0.4592941701412201,0.40353841099999954
7,0.3169994056224823,0.5172287821769714,0.409748086999997
8,0.276180624961853,0.4520784020423889,0.41706132600000956
9,0.3573315143585205,0.45180535316467285,0.4062540920000117
10,0.2843058705329895,0.5746356248855591,0.40761304800000175
11,0.31604450941085815,0.6344274878501892,0.4198668429999941
12,0.3147397041320801,0.5733894109725952,0.4214251849999755
13,0.27906468510627747,0.5511860847473145,0.4265115489999971
14,0.28574782609939575,0.5350822806358337,0.39376762999998505
15,0.2676445245742798,0.6015107035636902,0.41401537400000166
16,0.24674414098262787,0.476978063583374,0.41202381499999774
17,0.2318107932806015,0.4603893756866455,0.4113740630000109
18,0.29369470477104187,0.3886304199695587,0.4083365049999941
19,0.25764548778533936,0.5615888833999634,0.4163545770000212
20,0.26133906841278076,0.7114788889884949,0.4159035229999972
21,0.2303498387336731,0.6112703680992126,0.40103881599998203
22,0.21710938215255737,0.37065133452415466,0.4051492950000011
23,0.26754093170166016,0.554175853729248,0.4016824999999926
24,0.21358582377433777,0.5557817220687866,0.39946990100000335
25,0.31069326400756836,0.6142910718917847,0.4289521369999818
26,0.2491157054901123,0.45363426208496094,0.4142276460000005
27,0.21931874752044678,0.6800138354301453,0.411074866000007
28,0.2340937852859497,0.7403239607810974,0.40939759300002265
29,0.22022688388824463,0.46716949343681335,0.4063493929999993
30,0.24218043684959412,0.8414403796195984,0.41258817899998235
31,0.2408108413219452,0.3830711841583252,0.41700601200000165
32,0.20167303085327148,0.4268657863140106,0.40430979999999295
33,0.2325330227613449,0.5958005785942078,0.4141036389999897
34,0.22845767438411713,0.48755860328674316,0.3998183209999979
35,0.2034236490726471,0.6725848317146301,0.4089251529999842
36,0.19050145149230957,0.6033746600151062,0.40929434699998524
37,0.20095255970954895,0.44042783975601196,0.4087020819999907
38,0.21432268619537354,0.7370429635047913,0.403300999999999
39,0.26159045100212097,0.412025511264801,0.3991740900000025
40,0.23913154006004333,0.434232622385025,0.39952799399998185
41,0.25821536779403687,0.44230562448501587,0.40454463699998655
42,0.20903760194778442,0.6364140510559082,0.4132167620000189
43,0.2016061544418335,0.6206250786781311,0.41884046499998817
44,0.231770321726799,0.8506402969360352,0.42630420999998364
45,0.20625966787338257,0.5323795080184937,0.4102277030000039
46,0.25237414240837097,0.6213476061820984,0.405755054999986
47,0.21957820653915405,0.5190303325653076,0.4096186120000027
48,0.24025075137615204,0.7082153558731079,0.4088931399999751
49,0.22085948288440704,0.452041894197464,0.4082410569999979
50,0.2117607742547989,0.5948490500450134,0.40141807199998425
51,0.1973634660243988,0.5035941004753113,0.43403056700000775
52,0.18999716639518738,0.4520336389541626,0.4300439110000127
53,0.2229633927345276,0.5986894965171814,0.41829723100002525
54,0.20953695476055145,0.4411293864250183,0.4136091219999969
55,0.2173965722322464,0.5732890963554382,0.39560654699999986
56,0.19818592071533203,0.5837158560752869,0.4254886450000015
57,0.20816007256507874,0.4787624478340149,0.40701172900000415
58,0.20091471076011658,0.54072505235672,0.4065542820000019
