file,label,view,shot,width,height,megapixels,mean_brightness,dark_clip_percent,bright_clip_percent,sharpness_score,sha256,dhash
N05_B2_013.jpg,N05,B2,013,3000,4000,12.0,63.14,2.241,0.0,289.65,a1121ce91c7e9c9b8c405033b68a553ecad0b4848eb73a7a72984ce464e1eaae,fd00de06fe06fa08051003c61ff836f8b1f8b988a6ecb4e831f381f0a1f0f1f0
N05_B3_021.jpg,N05,B3,021,3000,4000,12.0,124.16,0.0,0.0,409.79,91715ccd50a1a5fca12949cc9e0c8d7825546da52cc414ab8508d66b10ab16c6,7e06fc91f5d0b5c19e613ff08fee7ff26ce16be96bf96aed70f8f5bbf99df39d
N05_B4_029.jpg,N05,B4,029,3000,4000,12.0,56.66,4.368,0.0,311.44,5eca48e4edc9e744fd605765875897bee0e673581fdf0a278ca169dd9c33e39d,52805289d280d284cac94a4cfff1cdf1d7f9f379c5e9c5f9eb7009ff4b7f017f
N05_B5_037.jpg,N05,B5,037,3000,4000,12.0,129.81,0.862,0.0,236.92,5257eab21bcab4611e10910f88e0bcb2bedc54376f7c31effe5c075f309b7677,c000e000e000e000c0008460c3fcb3eb0ceb4bff7bfb4ad76afb37fb0fff0fff
N06_B1_006.jpg,N06,B1,006,3000,4000,12.0,66.25,0.012,0.0,357.26,3274fed897eb7bac45e48ee66ed091f9eef68a30e346f183e8acdcacc45cf370,085c16901440080021080c6c74f06c716b696be96ae968f934f851dc78dc78dc
N06_B2_014.jpg,N06,B2,014,3000,4000,12.0,65.83,0.555,0.0,292.65,7c53e1b1a519f38b4fd35fcc9fe9f8d2e48658d41cabd88e910dc4c88e710dbf,e581f786d18ee406c18203cf1ff16cf96b696ba96ae96af1307281fa81f8e1f0
N06_B3_022.jpg,N06,B3,022,3000,4000,12.0,123.27,0.0,0.0,409.45,b9414eb2b71af795f4fd626ea8288d89efd7ed21fc085de078331965ee1384e7,8430287020e093001340736403d276f06b696b116a496ae9304240c650f358f3
N06_B4_030.jpg,N06,B4,030,3000,4000,12.0,54.18,3.556,0.0,267.0,b8794757893b3cc095526d625e4e1e17ccb5e9667505812b703a239f5c0e8a99,4a6058742950ad50953296f9eaa96dd16af973714df96df977f000bf02f302bf
N06_B5_037.jpg,N06,B5,037,3000,4000,12.0,125.0,1.026,0.0,219.12,1001fe00a56bb678e1e4b32e7e5d0e966eff78431ffe5dabaafc13f25f03ec73,c000e000e000e000c000c4a083f483fbbceb4bff6bfb6bd76aff77fb0fff0fff
N07_B1_007.jpg,N07,B1,007,3000,4000,12.0,65.61,0.01,0.0,357.85,6c0ad6f28524345bf30226283daa95edcbd7d2afa827b55d46359b1be6c1ebbb,198699062ca224a20cb016737ff0ede86be86ba86acc6aec77f84d7c6cfc7c7e
N07_B2_015.jpg,N07,B2,015,3000,4000,12.0,59.15,4.559,0.0,284.16,86ada1250cef40ed4fdeffd90d3180054ae72f38893afd216c964e8a4cc1a84f,bcc8fcc0fc607c017ec00fe667f06cf96be96bf96ae968e975f9083ff83f7c3f
N07_B3_023.jpg,N07,B3,023,3000,4000,12.0,127.47,0.0,0.0,489.6,6b7c9d69fad536c5aa5a57cbb0bf81348e4cfcd7766b9cc4e568fdeaed31075b,e130c1706bc86b46898c0f86ed68d56cd394d3c4d4cce5e83f9a0b2c0a7e047e
N07_B4_031.jpg,N07,B4,031,3000,4000,12.0,57.98,2.713,0.0,266.94,bca2738ed5fdfd8017ee100b7dc749f6d56af5f58bc0b6a38ce30c9ee4769fa7,52408d42a942ed426d2225aefff1ddd1d7e9d369d5e9d5e9ebd1037f0b79016f
N07_B5_039.jpg,N07,B5,039,3000,4000,12.0,126.32,1.462,0.0,254.06,52f2988f29e99df3547422bb5da6728d806e014d70859451288d08512db19b2a,e000e000e000f800fe00ffd4ffdb6debdfffd3fbd3f74eff7dfb07ff07ff0fff
N08_B1_008.jpg,N08,B1,008,3000,4000,12.0,63.19,0.002,0.0,341.53,da693d855f98e07899b71b2bc299d3ff3d1a392d9a04006b10e85668d20ed7af,12601040002038307e389ff87df86bf86bf86bec6aec70f8039ce1bcf9bcb8ad
N08_B2_016.jpg,N08,B2,016,3000,4000,12.0,66.44,2.745,0.0,287.48,1db15e947affe91969ad21da0b3e2333df36be39af5e4fe95d386f59c6e3fd86,fd40fe80fc06fc08e00083846cf16be96be96bc968c9f1f1807e81f981f8f1f0
N08_B3_024.jpg,N08,B3,024,3000,4000,12.0,130.53,0.002,0.0,481.96,e220ebef20f8b520a320da1724240ca28a2c343472fca209c5231253a5328cd1,1300c62084081a610c2238c00d96ed78d56cd384d3e4c4cce1e88ff80ff51eef
N08_B4_032.jpg,N08,B4,032,3000,4000,12.0,57.97,1.499,0.0,291.06,7a2fd982e719ef8593ea92f5d2ec43ce80ea11db2d55e811fc3f9db1fc3b05c4,a528b5a056a952904ad44d54050eedf1def9d3b9d7e9c4e9ebf117ff217b016f
N08_B5_040.jpg,N08,B5,040,3000,4000,12.0,128.97,0.504,0.0,248.2,b8f983b74ceb45cdbf98eb811f6a77e9e7752ea79c07aebccc8a47de2e89924a,8000e000f000f000f800d5e82cf61df653f653eed4ee6bf603ff03ff03ff03ff
